route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
224-247,NOV25-TroyRMB-Weekday-12,13017817-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017818-NOV25-TroyRMB-Weekday-12,"Empire State Plaza to HVCC",0,2240343,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017819-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017820-NOV25-TroyRMB-Weekday-12,"Empire State Plaza to HVCC",0,2240343,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017821-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017822-NOV25-TroyRMB-Weekday-12,"Empire State Plaza to HVCC",0,2240343,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017823-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017824-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017825-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017826-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017827-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017828-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017829-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017830-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017831-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017832-NOV25-TroyRMB-Weekday-12,"Myrtle Ave to RPI Field",0,2860227,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017833-NOV25-TroyRMB-Weekday-12,"Myrtle Ave to RPI Field",0,2860227,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017834-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017835-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017836-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017837-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017838-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017839-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017840-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017841-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017842-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017843-NOV25-TroyRMB-Weekday-12,"RPI Field to Myrtle Ave",1,2860229,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017844-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
